,@mattertype,@welcome
60,Security Deposit,Potential landlird
74,Security Deposit,Security deposit
86,Security Deposit,demand letter
87,Security Deposit,security deposit dispute
88,Security Deposit,Security deposit
89,Security Deposit,security deposit
219,Security Deposit,I need help with a security deposit 
279,Security Deposit,Translation services for communicating with my landlord who only speaks Spanish.
326,Security Deposit,Security deposit not returned
398,Security Deposit,"Landlord Harassment, lack of repairs and now he’s MIA on my evacuation. Won’t respond to me about my security deposit  "
402,Security Deposit,Landlord will not return security deposti
415,Security Deposit,Habitability
470,Security Deposit,Landlord dispute
505,Security Deposit,security deposit
509,Security Deposit,No contact regarding security deposit
513,Security Deposit,Hi
544,Security Deposit,Security deposit help needed
721,Security Deposit,Looking for short term rental assistance 
746,Security Deposit,Chicago security deposit 
867,Security Deposit,Realty firm took deposit and not returning it. I did not even sign my lease but they still kept my deposit
941,Security Deposit,Security deposit interest rates and penalties 
976,Security Deposit,security deposit
1018,Security Deposit,security deposit
1019,Security Deposit,security deposit
1020,Security Deposit,month to month lease extension additional security deposit
1042,Security Deposit,Continue
1135,Security Deposit,Getting my deposit back. 
1182,Security Deposit,I need help for a deposit.the building I’m in is under forclosure
1219,Security Deposit,security deposit
1223,Security Deposit,security deposit
1244,Security Deposit,security deposit
1289,Security Deposit,uncashed security deposit
1296,Security Deposit,Security deposit 
1395,Security Deposit,Needing my security deposit 
1396,Security Deposit,Security deposit
1397,Security Deposit,We recently moved out of a house and the landlord is charging for us damages that are more than our security deposit
1478,Security Deposit,Landlord harassment
1493,Security Deposit,Do landlords living in owner-occupied building of 6 units or less have to pay interest on security deposits?
1500,Security Deposit,Security deposit return
1501,Security Deposit,Security deposit 
1504,Security Deposit,123
1575,Security Deposit,Problems with security deposit
1612,Security Deposit,Security Deposit
1613,Security Deposit,Security deposit
1614,Security Deposit,Landlord keeping security deposit on lease break
1715,Security Deposit,security deposit
1717,Security Deposit,60606
1770,Security Deposit,Landord not returning my security deposit 
1779,Security Deposit,security deposit
1853,Security Deposit,Hi
1874,Security Deposit,landlord sent fake invoice to deduct from security deposit 
1912,Security Deposit,My landlord is holding my security deposit liable while a non-renter illegally resides at the property 
1991,Security Deposit,Tenant requiring damage reimbursement for normal wear and tear
2000,Security Deposit,Esp
2020,Security Deposit,security deposit
2049,Security Deposit,My landlord is withholding my security deposit
2053,Security Deposit,Help with rent 
2127,Security Deposit,Security deposit
2138,Security Deposit,Return of Security deposit
2139,Security Deposit,Return of my security deposit after 11 months from my completely moving
2191,Security Deposit,Landlord withholding deposit
2309,Security Deposit,landlord charging 
2360,Security Deposit,breaking lease
2361,Security Deposit,switch
2409,Security Deposit,security deposit
2420,Security Deposit,Security deposit 
2447,Security Deposit,Security deposit
2512,Security Deposit,return of security deposit
2657,Security Deposit,landlord refuses to return security deposit
2665,Security Deposit,landlord communication
2677,Security Deposit,My previous landlord is trying to scam me out of a majority of my security deposit
2714,Security Deposit,security deposit
2759,Security Deposit,security deposit
2766,Security Deposit,Landlord issues
2920,Security Deposit,Do I owe a new security deposit after my rent increases?
2922,Security Deposit,security deposit
3024,Security Deposit,Security deposit 
3088,Security Deposit,Are condo owners exempt from returning security deposit within 45 days 
3090,Security Deposit,Security deposit return 
3091,Security Deposit,Landlord returning security deposit and is a condo owner
3104,Security Deposit,did my landlord follow the law when he kept my security deposit?
3106,Security Deposit,Draft a letter to get security deposit back
3107,Security Deposit,?
3234,Security Deposit,I need to get my security deposit back.
3235,Security Deposit,My landlord want me to admit to breaking my lease when I did not. I need my security deposit back.
3262,Security Deposit,My landlord did not return my full security deposit 
3286,Security Deposit,There's trouble with my security deposit.
3348,Security Deposit,security deposit 
3356,Security Deposit,security deposit 
3358,Security Deposit,security deposit not returned 
3418,Security Deposit,Hello I was told to send my previous landlord a demand letter for my security deposit I asked for my security deposit through a mediation the court had set up for us and the past landlord tried to bribe me with the security deposit that she owes me and stated if I drop the charges with her husband she’ll send me my security deposit but because I did not drop the charges for my safety she did not return my security deposit 
3419,Security Deposit,Hello I was told to send my previous landlord a demand letter for my security deposit I asked for my security deposit through a mediation the court had set up for us and the past landlord tried to bribe me with the security deposit that she owes me and stated if I drop the charges with her husband she’ll send me my security deposit but because I did not drop the charges for my safety she did not return my security deposit 
3456,Security Deposit,what to do if my lease contract does not apply to rlto
3511,Security Deposit,security deposit
3567,Security Deposit,security deposit 
3619,Security Deposit,Breaking my lease
3651,Security Deposit,I need a help with security deposit issue 
3695,Security Deposit,"Hello, im trying to seek help getting my deposit back from my landlord."
3701,Security Deposit,deposit interest
3711,Security Deposit,security deposit
3728,Security Deposit,security deposit
3730,Security Deposit,security deposit
3741,Security Deposit,security deposit
3752,Security Deposit,Security deposit dispute 
3856,Security Deposit,I need help to find an apartment or townhome in my area but I cannot get one there are too many applicants
3891,Security Deposit,Billing after move out
3915,Security Deposit,Assistance with housing
3931,Security Deposit,How do I get my full security deposit back
3961,Security Deposit,Contact
4055,Security Deposit,getting deposit back
4075,Security Deposit,security deposits
4079,Security Deposit,Homelessness’s 
4313,Security Deposit,security deposit
4374,Security Deposit,More help
4521,Security Deposit,My landlord is charging me for unnecessary items to keep my security deposit
4522,Security Deposit,Security deposit dispute
4544,Security Deposit,Landlord has not paid interest on deposit and may not have in a dedicated account 
4597,Security Deposit,When is the next class
4857,Security Deposit,Security deposit
4858,Security Deposit,Security deposit 
4859,Security Deposit,Security deposit issue
4860,Security Deposit,I believe I was illegally charged a huge deposit for move in
5069,Security Deposit,Landlord is unresponsive and has not returned refundable holding deposit 
5172,Security Deposit,Landlord not paying interest on security deposit
5181,Security Deposit,Security deposit
5217,Security Deposit,"Good Morning, I need some legal assistance regarding my security deposit that my landlord doesn't want to give back to me.   "
5218,Security Deposit,"Good Morning, I need some legal assistance regarding my security deposit that my landlord doesn't want to give back to me.   "
5232,Security Deposit,"Owed money, unresponsive "
5242,Security Deposit,security deposit
5243,Security Deposit,security deposit
5244,Security Deposit,landlord won't pay back security deposit
5245,Security Deposit,landlord break lease
5255,Security Deposit,security deposit
5263,Security Deposit,security deposit
5388,Security Deposit,security deposit dispute
5389,Security Deposit,housing issue
5418,Security Deposit,Late fees
5433,Security Deposit,landlord entered unit without notice
5475,Security Deposit,"if my lease is up and my landlord won't let me renew it, but I have not found a new place to live can she kick me out or does she have to go through the eviction process"
5487,Security Deposit,"I just moved into a section 8 apartment I had 1,000 donated to help with prorated rent and first months rent and landlord cashed check from church and has not taken it off my account "
5605,Security Deposit,security deposit
5609,Security Deposit,Español 
5610,Security Deposit,Español 
5649,Security Deposit,security deposit
5673,Security Deposit,Help paying deposit 
5733,Security Deposit,Security deposit 
5745,Security Deposit,Security deposit 
6143,Security Deposit,Landlord refuse to give back security deposit 
6291,Security Deposit,security deposit
6293,Security Deposit,security deposit
6398,Security Deposit,deposit
6399,Security Deposit,deposit
6882,Security Deposit,get deposit back
6919,Security Deposit,help
6957,Security Deposit,Negotiating with landlord
6960,Security Deposit,Damage
7043,Security Deposit,getting deposit back
7236,Security Deposit,Landlord not acknowledging rent that was paid at move-in
7304,Security Deposit,Never received a receipt for my security deposit and landlord never did an initial walk through
7423,Security Deposit,Security deposit 
7434,Security Deposit,security deposit
7473,Security Deposit,refund of deposit
7718,Security Deposit,security deposit 
7824,Security Deposit,deposit
